,INST,EPXX,EPYY,EPZZ,EPXY,EPXZ,EPYZ,SIXX,SIYY,SIZZ,SIXY,SIXZ,SIYZ,EPXX_EL,EPYY_EL,EPZZ_EL,EPXY_EL,EPXZ_EL,EPYZ_EL,LAMBDA,NITER,IP,EVP,TIME,E_STORED,E_DISSIPATED
27,71.2,0.00185453306247367,0.00185453306247367,-0.00335324441031111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301425e-05,4.65391353301425e-05,-0.00174169360046615,0.0,0.0,0.0,0.00377515460910459,2.0,1.0,0.0020044370444421,31.2,0.0,0.0
28,72.4,0.00198799249835946,0.00198799249835946,-0.00347220314062222,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00405382258301131,2.0,1.0,0.00215239718590257,32.4,0.0,0.0
29,73.6,0.00212145193424525,0.00212145193424525,-0.00359116187093333,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301427e-05,-0.00174169360046615,0.0,0.0,0.0,0.00433249055691802,2.0,1.0,0.00230035732736304,33.6,0.0,0.0
30,74.8,0.00225491137013104,0.00225491137013104,-0.00371012060124444,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00461115853082474,2.0,1.0,0.0024483174688235,34.8,0.0,0.0
31,76.0,0.00238837080601683,0.00238837080601683,-0.00382907933155556,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00488982650473145,2.0,1.0,0.00259627761028397,36.0,0.0,0.0
32,77.2,0.00252183024190262,0.00252183024190262,-0.00394803806186667,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00516849447863816,2.0,1.0,0.00274423775174443,37.2,0.0,0.0
33,78.4,0.00265528967778841,0.00265528967778841,-0.00406699679217778,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00544716245254488,2.0,1.0,0.0028921978932049,38.4,0.0,0.0
34,79.6,0.00278874911367419,0.00278874911367419,-0.00418595552248889,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.0057258304264516,2.0,1.0,0.00304015803466537,39.6,0.0,0.0
35,80.8,0.00292220854955998,0.00292220854955998,-0.0043049142528,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301426e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00600449840035831,2.0,1.0,0.00318811817612583,40.8,0.0,0.0
36,82.0,0.00305566798544577,0.00305566798544577,-0.00442387298311111,0.0,0.0,0.0,-4000000.0,-4000000.0,-17332385.6041954,0.0,0.0,0.0,4.65391353301427e-05,4.65391353301426e-05,-0.00174169360046615,0.0,0.0,0.0,0.00628316637426503,2.0,1.0,0.0033360783175863,42.0,0.0,0.0
